id;name;description;price;stock;product_type
1;afore icy;qua snarling for;12136.85;30734;BEAN
2;incandescence;near familiar whereas;29633.01;3217;GROUND
3;oof um wastebasket;deal;842.16;21640;SNACK
4;private um across;whereas infamous;31332.95;30727;SNACK
5;now aw;mid;14185.65;16885;GROUND
6;wherever;meh addle;17119.76;1118;BEAN
7;sadly criticize huzzah;that encircle;8692.78;28265;SNACK
8;if sigh surprised;pace beyond;27650.57;7817;GROUND
9;enclose shoddy prescription;busily toreador rusty;12669.69;11267;SNACK
10;mmm;essential cripple;21591.63;27173;SNACK
